,pred_log_pm25,lat,lon,obs_pm25
0,0.44225588,43.13861083984375,-80.29264068603516,5.5
1,1.3111924,33.5531005859375,-86.81500244140625,3.35
2,1.3440638,33.33110046386719,-87.00360107421875,2.4
3,1.3115534,33.5452995300293,-86.5491943359375,3.05
4,1.3141729,33.49969863891602,-86.92420196533203,3.2
5,1.1141422,34.69169616699219,-86.59169006347656,3.3
6,1.4541664,32.41281127929688,-86.26339721679688,4.15
7,1.4619212,32.36252975463867,-88.27792358398438,2.7
8,1.2459861,34.24388885498047,-113.5586090087891,3.7
9,1.2938546,33.50360107421875,-112.0950012207031,3.25
10,1.4929894,31.33720397949219,-110.9367218017578,2.05
11,1.3840942,32.69027709960938,-114.6144409179688,2.15
12,1.0884423,34.75605773925781,-92.28103637695312,2.6
13,1.172321,37.81480026245117,-122.2823944091797,2.0
14,1.3267756,33.58309936523438,-117.0721969604492,1.7
15,1.1861724,38.56843948364258,-121.4931106567383,1.4
16,1.188937,38.68330383300781,-121.1644668579102,2.5
17,1.37679,32.8422966003418,-116.7683258056641,0.9
18,1.3538218,33.21702575683594,-117.3961639404297,1.75
19,1.3890594,32.57936096191406,-116.9294891357422,1.1
20,1.3788611,32.7895622253418,-116.9442138671875,1.1
21,1.2899512,35.02079391479492,-120.5638961791992,3.0
22,1.2031069,37.34830093383789,-121.8946990966797,5.0
23,1.1839818,37.64216613769531,-120.9942016601562,2.5
24,1.19589,39.73860168457031,-104.9393920898438,2.65
25,1.1910418,39.77939987182617,-105.0052261352539,3.45
26,1.2018787,38.84799957275391,-104.8285980224609,2.35
27,1.1041783,37.13677978515625,-107.6286315917969,1.35
28,1.1101373,37.10258102416992,-107.8702163696289,1.6
29,0.85274214,39.76110076904297,-75.49189758300781,1.0
30,0.8662152,38.65390014648438,-75.61060333251953,1.55
31,1.2178693,28.05419731140137,-80.62830352783203,1.65
32,1.8157139,26.29059982299805,-80.0969009399414,2.4
33,1.4658064,30.17829895019531,-82.61920166015625,8.2
34,1.4622335,30.13579940795898,-81.63390350341797,3.6
35,1.4615884,30.26280975341797,-81.60684204101562,2.95
36,1.421348,27.95513343811035,-82.46952819824219,4.2
37,1.3788543,27.96590042114258,-82.23060607910156,3.95
38,1.9273891,26.60280227661133,-81.87889862060547,3.05
39,1.413221,29.17079734802246,-82.10079956054688,6.85
40,1.8302964,27.17245674133301,-80.24069213867188,3.7
41,1.8262057,25.79470062255859,-80.2155990600586,3.25
42,1.2962176,28.59970283508301,-81.36280822753906,2.65
43,1.5546628,28.34779739379883,-81.63670349121094,2.9
44,1.863289,26.72416687011719,-80.66305541992188,3.9
45,1.3629495,27.97110176086426,-82.73609924316406,2.9
46,1.2888707,28.09029960632324,-82.70079803466797,3.3
47,1.5103942,30.39419937133789,-87.00810241699219,6.35
48,1.4848514,30.08419990539551,-84.16169738769531,5.25
49,1.4549537,32.09030151367188,-81.13059997558594,3.35
50,1.3010128,33.92499923706055,-83.35749816894531,3.4
51,1.3296218,33.69060134887695,-84.27310180664062,5.95
52,1.4665648,31.57670211791992,-84.10020446777344,4.25
53,1.4755968,31.16940116882324,-81.49639892578125,3.3
54,1.283388,33.96360015869141,-84.06639099121094,3.2
55,1.2055528,34.30030059814453,-83.81390380859375,3.9
56,1.3436813,33.43470001220703,-84.16169738769531,3.65
57,1.449993,32.60559844970703,-83.597900390625,3.1
58,1.485425,30.84860229492188,-83.29329681396484,6.15
59,1.3496246,33.43330001831055,-82.02189636230469,2.85
60,1.5164641,43.82301712036133,-115.8385467529297,2.5
61,1.383308,43.80948638916016,-111.8004760742188,2.7
62,0.64782023,44.26169586181641,-116.9791717529297,3.3
63,0.3482603,41.67079925537109,-87.73249816894531,0.95
64,0.34964076,41.75469970703125,-87.71359252929688,0.9
65,0.34828755,41.86433029174805,-87.74882507324219,1.2
66,0.35985446,41.77140045166016,-88.1521987915039,2.2
67,0.6146648,38.08890151977539,-88.625,1.35
68,0.5917092,39.1014404296875,-90.34449768066406,1.5
69,0.37629545,42.22109985351562,-88.24110412597656,1.25
70,0.660506,40.51689910888672,-88.99749755859375,1.95
71,0.47252837,39.86690521240234,-88.92559814453125,1.05
72,0.68622524,38.70449829101562,-90.13970184326172,1.75
73,0.6638655,38.860595703125,-90.10579681396484,1.25
74,0.5792113,40.69779968261719,-89.58890533447266,1.8
75,0.6405445,38.17610168457031,-89.78829956054688,1.25
76,0.7361727,38.61189270019531,-90.16061401367188,1.6
77,0.48095617,39.83192443847656,-89.6441650390625,1.75
78,0.34671125,41.52688598632812,-88.11647033691406,1.3
79,0.4396856,41.22219848632812,-88.19059753417969,1.05
80,0.5313359,38.98555755615234,-86.989990234375,0.85
81,0.4704244,40.00954437255859,-85.52346801757812,1.75
82,0.3386716,41.6065673828125,-87.30502319335938,1.45
83,0.3413615,41.59442901611328,-87.49504089355469,1.05
84,0.51668197,40.12568664550781,-85.65213012695312,1.55
85,0.42425165,39.81083297729492,-86.11444091796875,1.45
86,0.42279375,39.78793334960938,-86.13088989257812,1.6
87,0.383581,39.15937042236328,-86.50474548339844,1.5
88,0.34496966,41.6966667175293,-86.2147216796875,0.85
89,0.4324638,41.16972351074219,-85.62944793701172,1.8
90,0.40031776,41.65819549560547,-91.50347900390624,2.1
91,0.8998081,38.83860015869141,-94.74639892578124,2.65
92,0.72898626,37.67695617675781,-95.47593688964844,1.55
93,0.7741906,37.70110321044922,-97.31390380859376,1.4
94,0.9118808,39.11750030517578,-94.6355972290039,2.25
95,0.57319474,38.45920181274414,-82.63389587402344,1.9
96,0.60878634,39.02169799804688,-84.47441101074219,1.2
97,0.6253219,38.23830032348633,-82.98829650878906,1.75
98,0.89311665,36.91166687011719,-87.3236083984375,2.45
99,0.5861421,38.22859954833984,-85.65440368652344,0.9
100,0.58667344,38.2315788269043,-85.82675170898438,0.85
101,0.6151262,37.8932991027832,-84.58920288085938,3.4
102,0.85749197,37.28310012817383,-83.22029113769531,3.0
103,1.500028,30.26249885559082,-93.28500366210938,3.0
104,1.548131,30.46220016479492,-91.17689514160156,5.3
105,1.5184755,30.04109954833984,-90.27279663085938,4.05
106,1.515056,30.31499862670898,-90.8114013671875,4.7
107,1.5156437,29.99601364135742,-90.1181869506836,3.75
108,1.4999491,29.94309997558594,-89.9760971069336,4.3
109,0.36010733,42.27809906005859,-85.54190063476562,1.1
110,0.42215386,42.38599395751953,-83.26632690429688,2.5
111,0.33295086,43.99469757080078,-92.44969177246094,1.5
112,1.2937971,33.75083160400391,-90.73416137695312,2.65
113,1.0752848,34.82063674926758,-89.98778533935547,5.3
114,1.503976,30.3009147644043,-89.39595031738281,3.9
115,1.5201854,30.39012336730957,-89.04975128173828,3.65
116,1.4761019,32.32904052734375,-90.18264770507812,2.9
117,1.4695989,32.34673309326172,-90.22576141357422,3.2
118,1.5178989,30.3780517578125,-88.53387451171875,3.3
119,1.2140992,36.10638809204102,-115.2533264160156,1.85
120,1.2160026,36.00750350952148,-115.2630615234375,3.1
121,1.2133495,36.16975784301758,-115.2630386352539,1.75
122,1.2142217,36.17341613769531,-115.3327178955078,2.8
123,1.209763,36.27058792114258,-115.2382736206055,1.2
124,1.2110308,36.14187622070312,-115.0787506103516,1.65
125,1.2112905,36.16396331787109,-115.1139373779297,1.8
126,1.2088727,36.21446990966797,-115.0914459228516,1.9
127,1.1031708,35.13529968261719,-106.5847015380859,1.8
128,1.0933113,35.18780136108398,-106.6038970947266,2.0
129,0.3585975,42.09719848632812,-77.21029663085938,0.75
130,1.2118502,36.02598190307617,-80.34225463867188,2.25
131,1.2645389,36.10900497436523,-79.80231475830078,0.35
132,1.1120325,35.2411003112793,-80.78309631347656,2.5
133,1.1572982,35.85610961914062,-78.57416534423828,2.75
134,0.4420116,47.18579864501953,-101.4281005859375,1.0
135,0.5285128,39.08280181884766,-84.14409637451172,1.0
136,0.45508185,40.00273895263672,-82.9944076538086,1.45
137,0.4921353,40.1110954284668,-83.06538391113281,1.25
138,0.4847264,40.08780288696289,-82.95957946777344,1.65
139,0.4197595,39.12886047363281,-84.5040512084961,1.0
140,0.5639133,38.50811386108398,-82.6593017578125,1.55
141,0.3286868,41.64406585693359,-83.54624938964844,0.95
142,0.3464009,41.71939849853516,-83.4749984741211,1.25
143,0.41386834,39.75823593139648,-84.19737243652344,0.95
144,0.4199178,39.83562469482422,-84.72048950195312,1.05
145,0.54315525,38.75459671020508,-82.91699981689453,1.1
146,0.83774334,36.69718551635742,-97.0812759399414,0.55
147,0.97883874,35.50296783447266,-97.5776824951172,3.2
148,1.067082,34.90608215332031,-95.79412841796876,1.25
149,0.91139823,35.95249938964844,-96.0032958984375,1.95
150,0.890076,36.20669937133789,-95.97640228271484,3.25
151,1.0388045,43.58924865722656,-119.0483016967773,1.7
152,0.86657196,42.62322616577148,-122.8101654052734,0.5
153,0.48044252,42.22989273071289,-122.7876968383789,1.5
154,0.42935324,42.19409942626953,-122.7085876464844,1.9
155,0.6263551,42.16170120239258,-123.6483535766602,1.7
156,0.007834831,44.06722259521484,-123.141357421875,3.85
157,-0.0014228629,44.02629852294922,-123.0837707519531,3.0
158,0.03208926,44.04668045043945,-123.0177383422852,3.15
159,0.34916338,43.74436187744141,-122.4805068969727,1.95
160,0.31947878,43.79949951171875,-123.0535049438477,2.85
161,0.042107582,44.75116348266602,-122.4785079956055,2.6
162,-0.045397867,45.01499938964844,-122.7903747558594,1.85
163,0.29255572,44.943115234375,-123.0059204101562,1.9
164,0.87473935,45.30087661743164,-117.8128967285156,1.5
165,0.8151223,45.60242462158203,-121.2033843994141,2.5
166,0.7515524,45.39916229248047,-122.7455062866211,2.0
167,0.611592,39.92330169677734,-77.30809783935547,0.6
168,0.51027775,40.32389831542969,-79.86830139160156,1.1
169,0.60429406,40.51499938964844,-78.38890075683594,0.4
170,0.5215976,40.30970001220703,-78.91580200195312,1.0
171,0.604318,40.27219772338867,-76.681396484375,0.3
172,0.55238956,40.04669952392578,-76.2833023071289,0.7
173,0.56043196,40.04389953613281,-76.11250305175781,0.7
174,0.6680351,39.99139022827148,-75.08082580566406,1.1
175,0.7773676,39.92251586914062,-75.18678283691406,0.95
176,0.72640234,39.96030044555664,-75.14240264892578,1.15
177,0.47943887,40.14690017700195,-79.90328979492188,0.9
178,0.48706636,40.26900100708008,-80.24400329589844,0.85
179,0.5096758,40.30530166625977,-79.506103515625,1.15
180,0.6007292,39.96530151367188,-76.69940185546875,0.75
181,1.4313172,32.94100189208984,-79.65699768066406,3.55
